id,repository,shelfmark,folio,date_start,date_end,place,status,A_circular_concentric,B_four_principals,C_axial_cardinal,D_extended_hand_arm,E_held_subordinate_heads,F_four_plus_eight,G_breath_horn,H_central_body,role,notes
E01,Biblioteca Nazionale Marciana,MS lat. 2760,2v,1180,1220,Venice/Italy,scholarly_verified,present,present,present,present,present,present,unclear,present,exact_precedent,"Astronomy of Nemrod: four cardinal winds on airy stratum of concentric rings; outstretched hands hold collateral heads; associated 4+8=12 text."
E02,Gonville and Caius College Library,MS 428,39v,1050,1150,England,scholarly_plus_object_verified,present,present,unclear,present,present,present,unclear,unclear,exact_precedent,"Raff: four principal winds as full figures hold eight collateral winds as winged heads; Warburg verifies object/folio/circular diagram."
E03,Universitaetsbibliothek Heidelberg,Cod. Sal. X16,2v,1195,1225,Germany,official_plus_scholarly_verified,present,present,present,present,present,present,unclear,present,exact_precedent,"Scivias annual/cosmological diagram; four winged principal winds with small subordinate heads held in extended hands."
E04,Cava dei Tirreni Biblioteca della Badia,Ms. memb. 3,198v,1075,1125,Southern Italy,scholarly_verified,present,present,present,present,absent,present,present,present,arm_to_centre_precedent,"Twelve wind heads; four principal winds larger and have arms stretched toward the centre, where Sun/Moon personifications occur."
E05,Wien Oesterreichische Nationalbibliothek,MS 364,4v,1325,1345,Austria,scholarly_verified,present,present,present,absent,absent,semantic_remnant,variable,present,bridge_component,"Raff c.1335: rationalized four winds + four rivers; inscriptions retained from an eight-wind/subordinate scheme."
E06,Unknown former art market,isolated leaf,,1290,1310,unknown,quarantined,present,present,present,unclear,absent,present,present,present,bridge_quarantine,"Raff ca.1300: four principal medallion heads; two subordinate wind personifications in each surrounding sector; exact codicological source lost."
E07,Morgan Library,MS M.721,14v,1450,1500,Florence Italy,official_verified,present,present,present,unclear,absent,absent,unclear,unclear,late_component,"Official Morgan catalogue: four winds personified as faces; separate wheel diagram with wind names."
E08,Oxford Bodleian,MS Bodl. 646,34r,1455,1465,Padua Italy,scholarly_verified_image_pending,present,unclear,unclear,absent,absent,unclear,present,unclear,late_component,"Scholarly catalogue: table with twelve blowing heads of winds; exact image surface not yet reproducibly acquired."
E09,Wien Oesterreichische Nationalbibliothek,MS 216,49r,1450,1500,probably Verona,scholarly_verified_catalogue_conflict, present,present,present,absent,absent,present,present,present,late_component,"Raff: 2nd half 15th c probably Verona, Ptolemy world map with twelve differentiated wind heads blowing curved horns. Modern catalogue dating/provenance must be reconciled."
E10,Vatican Library,Urb.lat.2,119r,1478,1478,Italy,scholarly_plus_catalogue_verified,absent,absent,absent,absent,absent,absent,present,present,late_component,"Raff: wind head blows a large cloud; demonstrates later-15th-century component continuity only."
T01,Yale Beinecke,MS 408,57v,1404,1438,Europe,target,present,present,present,present,unclear,unknown,unclear,present,target,"Four axial heads/busts; rotationally distributed centre-related arms/hands; no clear subordinate heads or breath; central six-lobed object."
