row,experiment,source_ref,protocol_or_freeze,implementation,input_or_manifest,machine_output,result_or_audit,clean_rerun_status,status,residual_action
1,Four-part generator hierarchy,main,Paper/README.md; Paper/Generators/GENERATOR_MAP.md,Paper/reproduce_all.py; Paper/reproduce_s3.py; Paper/Generators/*.py,enriched_records.pkl; Paper/p70c_full_spec_v1.json; Paper/p70c_full_layer.pkl; voynich_transcriptions_slim.json,Paper/s3_all_generators.pkl; Paper/s3_summary.md,Paper/s3_summary.md,Partial clean-clone execution confirmed the committed pipeline runs; HF job 6a70be5f6b79c09949c20d54 was cancelled during Gen-04T because a full 23-generator regeneration was non-decisive and computationally redundant,COMPLETE_COMMITTED_CACHED_OUTPUT,No full rerun required for submission; retain the cancellation record and correct obsolete --quick documentation
2,Metric audit and classifier two-sample test,review archive / source record,Frozen settings recorded in RUNNING_RESULTS_demolition.md and Supplementary Table S3,Exact original ten-feature construction script not located in any Voynichdecomp ref,enriched_records.pkl; committed template generator; documented 120-token split,Aggregate numerical record only,RUNNING_RESULTS_demolition.md; Supplementary Table S3,NOT_YET_EXACTLY_RERUN,PRINCIPAL_ARTIFACT_GAP,Reconstruct and freeze a transparent harness; do not represent it as the lost original implementation
3,Within-line order constraint,local hash-verified H2 archive,01_manifest/MANIFEST.yaml; 06_authoritative_ledger/H2_LEDGER.yaml,03_code/step69-83 scripts; session_verification.py,05_data derived corpora plus recorded source provenance,04_results/*.pkl and JSON; authoritative ledger,H2_LEDGER.yaml; PAPERS_AND_CITATIONS_INDEX.md,Original archive SHA-256 verified; internal SHA256SUMS passed,ARCHIVE_COMPLETE_NOT_GITHUB,Create redistributable portable snapshot; exclude copyrighted research copies
4,Mixed-unit homophonic calibration,experiment/terminal-cipher-programme-v0.6-20260716,experiments/morpholocal_calibration_v0_2/SPEC.md; FREEZE_RECORD.json,gpu_runner.py; cpu_batched_runner.py; formal_audit.py; hostile_static_audit.py,source_bundle/*; SOURCE_BUNDLE_MANIFEST.json,Formal JSON and audit records in experiment directory,REPRODUCTION_AND_AUDIT.md,Byte-for-byte clean-clone reproduction of all 416 trials plus corrected independent audit,EXACT_INTERNAL_REPRODUCTION,No scientific rerun required
5,Generator-disjoint latent-order test,experiment/terminal-cipher-programme-v0.6-20260716,GENERATOR_DISJOINT_PROTOCOL_V034.md,generator_disjoint_v034.py; generator_disjoint_v034_patch.py,Committed source bundles and fixed synthetic panel,results/v034_generator_disjoint_smoke_primary.csv,results/V034_GENERATOR_DISJOINT_SMOKE_RESULT.md,Row-level result committed; no additional rerun yet,ROW_LEVEL_COMMITTED,Optional clean-clone confirmation only
6,Generic multilingual decoder,experiment/terminal-cipher-programme-v0.6-20260716,RECOVERABILITY_PROTOCOL_V050.md; amendments,recoverability_v050.py; train_decoder_v050*.py; run_and_emit_v050.py,corpus_manifest_v050.json and deterministic schedules,Historical row-level JSON not persisted from ephemeral job,V050_FULL_RESULT.md,Not clean-rerun in this closure,TRACEABLE_RERUNNABLE_NO_HISTORICAL_ROWS,Rerun only if the paper retains row-level claims beyond published aggregates
7,Monoalphabetic untouched test,experiment/terminal-cipher-programme-v0.6-20260716,V051_SOLVER_PORTFOLIO_PROTOCOL.md; V051 amendment,mono_solver_v051.py; mono_test_v051.py,corpus manifest; deterministic language shards and seeds,Compressed per-trial outputs recorded in original immutable job logs; not committed as files,V051_MONO_LOCKED_TEST_RESULT.md,Not clean-rerun in this closure,TRACEABLE_RERUNNABLE_NO_COMMITTED_ROWS,Persist regenerated six-shard row-level JSON if rerun
8,Fresh-key homophonic untouched test,experiment/terminal-cipher-programme-v0.6-20260716,V053_NEURAL_CLASSICAL_BAKEOFF_PROTOCOL.md,v053_* and homophonic_* implementations,Committed corpus manifest and deterministic schedules,No final row-level JSON committed,V053_FINAL_RESULT.md,Not clean-rerun in this closure,TRACEABLE_RERUNNABLE_NO_COMMITTED_ROWS,Persist regenerated row-level output if rerun
9,Joint substitution-transposition,experiment/terminal-cipher-programme-v0.6-20260716,V055_TRANSPOSITION_PROTOCOL.md; amendments,v055_* implementations,Committed corpus manifest and deterministic schedules,No final row-level JSON committed,V055_FINAL_RESULT.md,Not clean-rerun in this closure,TRACEABLE_RERUNNABLE_NO_COMMITTED_ROWS,Persist regenerated row-level output if rerun
10,Hidden-width transposition T,experiment/terminal-cipher-programme-v0.6-20260716,V060_TERMINAL_CIPHER_PROTOCOL.md; Family T amendments,v060_family_t_* implementations,Deterministic development panel,v060_family_t_final_combined_result.json with all 16 rows,V060_FAMILY_T_FINAL_COMBINED_RESULT.md,Not rerun in this closure,ROW_LEVEL_COMMITTED,Optional clean-clone confirmation only
11,Carrier steganography G,experiment/terminal-cipher-programme-v0.6-20260716,V060_PROTOCOL_FAMILY_G_CARRIER_STEGANOGRAPHY.md; final amendment,v060_family_g_* implementations,"Frozen 2,935-rule inventory and deterministic covers",v060_family_g_g1_combined_result.json; v060_family_g_g2_final_result.json (aggregate),V060_FAMILY_G_FINAL_RESULT.md,Not rerun in this closure,MACHINE_SUMMARY_COMMITTED,Persist row-level final output on any confirmation rerun
12,Variable-length polygraphic ensemble S,experiment/terminal-cipher-programme-v0.6-20260716,V060_PROTOCOL_FAMILY_S_SEGMENTED_POLYGRAPHIC.md; S3 freeze,v060_family_s_* implementations,Deterministic panel; checkpoint/object identifiers and hashes,v060_family_s3_final_result.json with all 16 scored rows,V060_FAMILY_S3_FINAL_RESULT_AND_CLOSURE.md,Not rerun in this closure,ROW_LEVEL_COMMITTED_EXTERNAL_PHASE_OBJECTS,Retain immutable Supabase object identifiers/checkpoint hashes
13,Periodically shifting alphabet recovery P,experiment/terminal-cipher-programme-v0.6-20260716,V060_TERMINAL_CIPHER_PROTOCOL.md; P amendments,v060_family_p_* implementations,Deterministic locked panel and seeds,Historical machine result not committed as a standalone file,V060_FAMILY_P_LOCKED_TEST_PASS.md,Not clean-rerun in this closure,TRACEABLE_RERUNNABLE_NO_COMMITTED_ROWS,Clean-clone rerun and persist the 16 rows
14,Blind shifting-alphabet recognition,experiment/terminal-cipher-programme-v0.6-20260716,V060_BLIND_MODEL_SELECTION_IMPLEMENTATION_FREEZE.md,v060_blind_model_selection.py; run_validation.sh,Deterministic synthetic train/dev/test construction,Clean-rerun JSON emitted during closure,V060_STAGE7_LOCKED_RESULT.md,Exact scientific hash 63d1ffac893e2e0449a22c87d5ff92aee2ab2c6d02a28f93cad8980204091add reproduced in HF job 6a70bf2ba00abefd4b28fbf0,EXACT_CLEAN_CLONE_REPRODUCTION,Commit canonical rerun JSON stripped of runtime metadata
