id,stratum_id,role,class,repository,shelfmark,folio,date_start,date_end,place,source_url,status,notes
W01,S01,comparator,wind,Metropolitan Museum / Pen and Parchment,Four Winds Diagram,,1290,1310,Austria,https://blog.metmuseum.org/penandparchment/exhibition-images/cat320r7_49e/,verified,"Four heads in roundels personify principal winds; blasts of air."
W02,S02,comparator,wind,Walters Art Museum,W.73,1v,1175,1200,England,https://art.thewalters.org/object/W.73.1V/,verified,"Twelve wind busts; four major winds at cardinal directions; blow toward Earth."
W03,S03,comparator,wind,British Library,Harley MS 3667,5v,1122,1149,Peterborough England,https://searcharchives.bl.uk/catalog/040-002049499,verified,"Circular diagram of twelve winds; each depicted as winged human head."
C03a,S03,control,apuleian_sphere,British Library,Harley MS 3667,4v,1122,1149,Peterborough England,https://searcharchives.bl.uk/catalog/040-002049499,verified,"Circular Apuleian sphere with vita/mors; human figures present."
C03b,S03,control,apuleian_sphere,British Library,Harley MS 3667,5r,1122,1149,Peterborough England,https://searcharchives.bl.uk/catalog/040-002049499,verified,"Apuleian sphere / organum pp."
C03c,S03,control,lunar_computus,British Library,Harley MS 3667,6r,1122,1149,Peterborough England,https://searcharchives.bl.uk/catalog/040-002049499,verified,"Circular months/lunar-number diagram."
C03d,S03,control,cosmological_fourfold,British Library,Harley MS 3667,8r,1122,1149,Peterborough England,https://searcharchives.bl.uk/catalog/040-002049499,verified,"Byrhtferth diagram of physical/cosmological fours."
C03e,S03,control,zodiac,British Library,Harley MS 3667,9v,1122,1149,Peterborough England,https://searcharchives.bl.uk/catalog/040-002049499,verified,"Diagram listing signs of zodiac."
C03f,S03,control,lunar_phases,British Library,Harley MS 3667,10r,1122,1149,Peterborough England,https://searcharchives.bl.uk/catalog/040-002049499,verified,"Moon phases relative to sun."
W04,S04,comparator,wind,British Library,Cotton MS Titus D XXVII,21v,1000,1100,England,https://searcharchives.bl.uk/catalog/040-001103600,verified,"Four-wind circular diagram; Subsolanus/Auster/Favonius/Septentrio."
W05,S05,comparator,wind,British Library,Cotton MS Nero D I,185v,1200,1259,St Albans England,https://searcharchives.bl.uk/catalog/040-001102706,verified,"Matthew Paris circular wind diagram; Latin and Anglo-Norman names; linked to elements."
W06,S06,comparator,wind,British Library,Harley MS 2688,17r,900,1000,France/England,https://searcharchives.bl.uk/catalog/040-001612920,verified,"Circular diagram of winds."
W07,S07,comparator,wind,Morgan Library & Museum,MS M.721,14v,1450,1500,Florence Italy,https://ica.themorgan.org/manuscript/page/10/128486,verified,"Four winds personified as faces at cardinal regions; separate wheel with wind names."
W08,S08,comparator,wind,Bodleian Library,MS. Bodl. 646,34r,1455,1465,Padua Italy,https://digital.bodleian.ox.ac.uk/objects/8ccc7b07-cb36-4845-ab03-b6ed8721a262/,verified_scholarly,"Saxl/Meier/Bober: table with twelve blowing heads of winds. Manuscript made at Padua c.1460."
C08a,S08,control,constellation_head_circle,Bodleian Library,MS. Bodl. 646,27v,1455,1465,Padua Italy,https://digital.bodleian.ox.ac.uk/objects/8ccc7b07-cb36-4845-ab03-b6ed8721a262/,verified_scholarly,"Hard negative: Pleiades/Hyades-style head medallions arranged around a circle; not winds."
W09,S09,auxiliary,wind_iconography,manuscripta.at,Cod. 3068,92r,1400,1450,Central Europe,https://manuscripta.at/_scripts/php/msDescription2_m1_NEU.php?ID=12055&IDinitia=,verified,"Bellifortis: sun moon and four winds as trumpet-blowing angels emerging upside-down from cloud band; non-rota auxiliary."
W10,S10,quarantine,wind,BnF Gallica,unresolved,unresolved,1400,1500,France?,,unresolved,"User-supplied Exhibit B screenshot; exact shelfmark/folio/ARK must be resolved before use."
T01,TARGET,target,unknown,Yale Beinecke,MS 408,57v,1404,1438,Europe,USER_SUPPLIED,verified_target,"Target. Never used to define features or source selection."
